

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1262.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-sentence\plugin\textobj\sentence.vim
1263.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-textobj-quote\plugin\textobj\quote.vim
1265.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-wordy\plugin\wordy.vim
1273.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\autoloclist.vim
1274.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\balloons.vim
1275.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\checker.vim
1275.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\cursor.vim
1276.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\highlighting.vim
1277.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\loclist.vim
1278.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\modemap.vim
1279.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\notifiers.vim
1280.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\registry.vim
1281.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic\signs.vim
1282.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\syntastic\plugin\syntastic.vim
1283.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-fugitive\plugin\fugitive.vim
1284.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\gist-vim\plugin\gist.vim
1286.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdcommenter\plugin\NERD_commenter.vim
1288.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-commentary\plugin\commentary.vim
1290.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\tabular\plugin\Tabular.vim
